Name,MTOW [kg],Payload [kg],Wingspan [m],Length [m],Cruise Speed [m/s],Max speed [m/s],Stall Speed [m/s],Range [km],Endurance [h],Altitude [m],Altitude [ft],Airfoil,Aspect ratio,Chord (est.) [m],Rotor/Prop diameter [m],Additional info,Type,Ref1,Ref2,Ref3,Ref4
AAI (Textron) RQ-7A Shadow,150,,3.90,3.4,58,,,735,5,4500 (ceiling),14000,NACA 4415,7,0.55,,piston engine,,[8],[6],[9],
AAI Aerosonde,25,3.1,2.95,1.7,31,41,,3000,10,4500 (service ceiling),15000,NACA 4415,15.3,0.2,,gasoline engine,,[18],[17],,
Aeromapper Avem,2,0.7,2.14,,16.7,,,20,3,3500 (max altitude),11500,,,,,,,[116],,,
Aeronautics Defense Aerolight,40,8,4.00,2.56,25.6,51.4,,150,4,3000,10000 (ceiling),,,,,11 hp engine,,[124],[125],,
Aeronautics Defense Orbiter 3,30,5.5,4.40,,,36,,150,7,5486 (service ceiling),18000,,,,,electric engine,,[29],[30],,
Aerostar Tactical UAS,230,50,8.70,4.5,,56.6,,250,12,,,,,,,38 hp combustion engine,,[57],,,
Aerovel Flexrotor,22,,3.00,2,23,45,,100,24+,5500 (max altitude),18000,,,,1.85,gasoline engine,,[104],,,
AeroVironment RQ-14a Dragon Eye,2.7,1,1.10,0.9,10,18,,5,1,150 (operating altitude),500 AGL (max operating altitude),LA2573A,3.7,0.3,,2 electric motors,,[36],[37],[38],[22]
AeroVironment RQ-20 Puma 3AE,6.8,,2.80,1.4,18,23,,60,2.5,150,500 AGL (operating altitude),SD7032,7.4,0.38,,,,[19],[20],[21],[22]
AeroVironment Wasp AE-RQ 12A,1.3,,1.02,0.76,10.3,23.2,,5,0.8,152 (operating altitude),500 AGL (operating altitude),,,,,,,[39],,,
AeroVironment RQ-11B Raven ,1.9,0.2,1.40,0.9,11.6,22.5,,10,1.5,"150, 4600","500 AGL (operating altitude), 15000 MSL (max launch)",,6,0.22,,electric engine,,[23],[24],[25],[26]
AgEagle RX-60,3.2,,1.37,0.7,17.9,21.9,,,1,1300,400 AGL (operational altitude),,,,,2 batteries,,[111],[112],,
Airbus Atlante,570,100,8.00,5.47,37.5,55.6,,200,10+,"3000 (cruise), 6000 (maximum)","10000, 20000",,,,,,,[83],,,
Airbus VSR700,700,,,6.2,,51.4,,,10+,6000 (ceiling),20000,,,,7.2,Fuel engine,rotary-wing,[123],,,
Alpha 800,14,3,,1.7,15.3,,,,2.5,3000 (ceiling),10000,,,,1.8,gasoline engine,rotary-wing,[119],,,
Bayraktar Akinci,5500,1350,20.00,12.2,83.3,,,11500,24,12000,40000 (operational altitude),,,,,2x750 hp turboprop engine,,[88],[89],,
Bayraktar Mini UAV,5,1,2.00,1.2,30.9,,,15,1.33,1000 (operational altitude),3300,,,,,electric engine,,[92],[93],,
Bayraktar TB2,630,55,12.00,6.5,36,,,150,24,8200,27030 (operational altitude),,,,,100 hp combustion engine,,[90],,,
